codigo,precio,direccion,latitud,longitud,razon_social,distribuidor,nom_comuna,nom_region
pb1310901,1344,EL PARRON 01140,-33.52641942,-70.66102624,COMERCIALIZADORA DE COMBUSTIBLES COCHILCO LTDA. ,Sin Bandera,La Cisterna,Metropolitana de Santiago
pb1310902,1316.5,GOYCOLEA 198,-33.54037076,-70.6627965,JUAN CARLOS HENRIQUEZ ROMAN,Sin Bandera,La Cisterna,Metropolitana de Santiago
pb1311001,1348.7059,REAL ALICANTE 6698,-33.51947,-70.58534,Comercial LF Santiago Spa,GO!,La Florida,Metropolitana de Santiago
pb1311201,1339.7858,Av Gabriela 3480,-33.58307382,-70.61280012,Sociedad de inversiones e importada MODENA SPA,Sin Bandera,La Pintana,Metropolitana de Santiago
pb1311802,1343.2727,Froilan Roa 5275,-33.5020442,-70.600661,Sociedad importadora e inversiones Modena spa Rut. ,MODENA,Macul,Metropolitana de Santiago
pb1311901,1341.3334,LA RINCONADA 2300,-33.50520414,-70.78824341,ENRIQUE IGNACIO GILLET APABLAZA,Del Sol Combustibles,Maipú,Metropolitana de Santiago
pb1311903,1314.4166,NUEVA SAN MARTIN 959,-33.52479385,-70.76916218,FARCOM LTDA.   ,FARCOM,Maipú,Metropolitana de Santiago
pb1311904,1317.6666,NUEVA O' HIGGINS 77,-33.523872,-70.757793,JUAN VILLANUEVA LEAL,JVL COMBUSTIBLES,Maipú,Metropolitana de Santiago
pb1311905,1311.4445,ALTO JAHUEL 35,-33.483423,-70.7536132, GL Distribuidora y comercializadora spa ,Sin Bandera,Maipú,Metropolitana de Santiago
pb1312001,1334.6154,AVDA. REPUBLICA DE ISRAEL 1203,-33.45561297,-70.61913013,COMBUSTIBLES CAÃ‘AS SPA,VIVA COMBUSTIBLES,Ñuñoa,Metropolitana de Santiago
pb1312201,1364.2,LOS BAQUEANOS 9460,-33.47305041,-70.53385466,MIGUEL MADRID TORRES // RUT: 2.257.751-9,Sin Bandera,Peñalolén,Metropolitana de Santiago
pb1312203,1353.4615,Avda. Consistorial 5410,-33.495164,-70.550852,IMPORTADORA Y EXPORTADORA KKKAT LTDA,ECCO,Peñalolén,Metropolitana de Santiago
pb1312301,1368.25,Tobalaba 1895,-33.43005126,-70.58694631,Comercial y Servicio A & D Ltda.,COPEC,Providencia,Metropolitana de Santiago
pb1312302,1319.4615,Av. Francisco bilbao 568,-33.44111405,-70.62493501,Zlatan Distribuidora y comercializadora de combustible spa ,SIN BANDERA,Providencia,Metropolitana de Santiago
pb1312602,1328.7778,Lo Espinoza 3091,-33.4089915,-70.70737481,Combustibles Petrogas spa.,Sin Bandera,Quinta Normal,Metropolitana de Santiago
pb1312701,1299.25,EL SALTO 3125,-33.39857502,-70.62781781,COMERCIALIZADORA DAFA EIRL,SIN BANDERA,Recoleta,Metropolitana de Santiago
pb1312704,1319.2727,RECOLETA 1097,-33.41957463,-70.64389497,COMBUSTIBLES URRUTIA SPA,VIVA COMBUSTIBLES,Recoleta,Metropolitana de Santiago
pb1312705,1345.1666,Recoleta 3380,-33.3951155,-70.64300084,Combustibles Lo Pinto SpA,Sin Bandera,Recoleta,Metropolitana de Santiago
pb1312801,1353.25,jose manuel balmaceda 4574,-33.40230109,-70.71487427,SERVICIOS INDUSTRIALES S.A.,COPEC,Renca,Metropolitana de Santiago
pb1312804,1343.1,BRASIL 6980,-33.40096653,-70.74302673,JUAN CARLOS HENRIQUEZ ROMAN,Sin Bandera,Renca,Metropolitana de Santiago
pb1312805,1343,avenida presidente eduardo frei montalva 1376,-33.41262869,-70.67974672,SESA,SESA,Renca,Metropolitana de Santiago
pb1312806,1341,JOSE MANUEL BALMACEDA 4885,-33.40110537,-70.7209897,Bespa Combustibles Spa,BESPA,Renca,Metropolitana de Santiago
pb1320102,1385.7858,EYZAGUIRRE 2436,-33.61585451,-70.60291082,Administradora de ventas al detalle ltda.,COPEC,Puente Alto,Metropolitana de Santiago
pb1320103,1352.5,Avenida Gabriela 3950,-33.58231855,-70.60651839,Centro de Servicios Focacci Borquez Ltda,COPEC,Puente Alto,Metropolitana de Santiago
pb1320104,1288.5714,Avda Nonato Coo 3161,-33.58039411,-70.56854527,El king Distribuidora y comercializadora de combustible spa ,BULL ENERGY,Puente Alto,Metropolitana de Santiago
pb1330102,1395.9149,República111,-40.57440923,-73.14691691,COMERCIALIZADORA CARTIZ SPA,PETROBRAS,Osorno,De los Lagos
pb1330103,1389.8572,Carretera general San MartÃ­n 13300,-33.25423223,-70.69731477,ENERGIE GRUPO DE INVERSIONES SPA,ONE,Colina,Metropolitana de Santiago
pb1330203,1392,ISABEL RIQUELME 0137,-33.27641984,-70.88877529,Ignacio Armando Amade Arevalo ,COMBUSTIBLES AMADE,Lampa,Metropolitana de Santiago
pb1330204,1380.3334,"SANTA SARA, PARCELA N° 5",-33.24030499,-70.76729536,DISTRIBUIDORA DE COMBUSTIBLES JSP SPA,Combustibles JSP,Lampa,Metropolitana de Santiago
pb1330205,1340,BARROS LUCO 3153,-33.29200996,-70.86692333,Combustibles JLM Spa,Combustibles La 12,Lampa,Metropolitana de Santiago
pb1330206,1311,Chacabuco sur 450 450,-33.27424214,-70.74543213,Pedro Riveros Alvarez Distribucion de Combustible EIRL,Sin Bandera,Lampa,Metropolitana de Santiago
pb1330301,1317,EL SAUCE 00,-33.09680872,-70.92961192,Distribuidora de Combustibles hijuelas spa,Combustibles Endless.com,Tiltil,Metropolitana de Santiago
pb1340104,1320.3334,Camino Lo Sierra 03150,-33.53249658,-70.70417225,GASTON MAURICIO POZO GONZALEZ,SHELL,San Bernardo,Metropolitana de Santiago
pb1340105,1329.8,NOS A LOS MORROS 1275,-33.63958833,-70.67892462,ADCOMM LTDA.,COPEC,San Bernardo,Metropolitana de Santiago
pb1340106,1326.4445,Camino Padre Hurtado 19290,-33.6040593,-70.6822635,Comercializadora Kupal II Ltda.,SHELL,San Bernardo,Metropolitana de Santiago
pb13401067,1318.9,Almirante Riveros 01202,-33.61589046,-70.68308273,IMPORTADORA Y EXPORTADORA OMPH LTDA,Energy,San Bernardo,Metropolitana de Santiago
pb1340107,1325.25,Barros Arana 1502,-33.60457936,-70.70237432,Energy Power SPA,Sin Bandera,San Bernardo,Metropolitana de Santiago
pb1340201,1401.4286,"Clemente Diaz, Maipo 512",-33.73411912,-70.78343689,TRANSPORTES COLECTIVO MAIPO BUIN SA,Sin Bandera,Buin,Metropolitana de Santiago
pb1350102,1397.25,Av.  Vicuña Mackenna 160,-33.68055656,-71.20794354,ASMESOL LTDA,Sin Bandera,Melipilla,Metropolitana de Santiago
